"['6/22/2015 4:35', '31', '237472', '700', 'NULL', '?']",0,-21.22704573
"['6/22/2015 4:30', '21', '253109', '767', 'NULL', '?']",0,-21.22704573
"['6/22/2015 4:25', '34', '266973', '801', 'NULL', '?']",0,-22.22704573
"['6/22/2015 4:20', '32', '280787', '830', 'NULL', '?']",0,-22.22704573
"['6/22/2015 4:15', '26', '297090', '796', 'NULL', '?']",0,-22.22704573
"['6/22/2015 4:10', '30', '299389', '794', 'NULL', '?']",0,-22.22704573
"['6/22/2015 4:05', '31', '299452', '947', 'NULL', '?']",0,-22.22704573
"['6/22/2015 4:00', '32', '253837', '649', 'NULL', '?']",0,-21.22704573
"['6/22/2015 3:55', '38', '259425', '729', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:50', '38', '253505', '825', 'NULL', '?']",0,-21.22704573
"['6/22/2015 3:45', '35', '263814', '537', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:40', '43', '268833', '1166', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:35', '35', '276800', '1241', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:30', '62', '277854', '1009', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:25', '44', '281885', '740', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:20', '44', '287399', '758', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:15', '55', '301134', '519', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:10', '50', '283175', '496', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:05', '73', '307140', '611', 'NULL', '?']",0,-22.22704573
"['6/22/2015 3:00', '82', '317406', '363', 'NULL', '?']",0,-23.22704573
"['6/22/2015 2:55', '114', '326794', '501', 'NULL', '?']",0,-23.22704573
"['6/22/2015 2:50', '118', '343716', '599', 'NULL', '?']",0,-23.22704573
"['6/22/2015 2:45', '107', '351750', '636', 'NULL', '?']",0,-24.22704573
"['6/22/2015 2:40', '100', '358152', '658', 'NULL', '?']",0,-24.22704573
"['6/22/2015 2:35', '111', '365421', '424', 'NULL', '?']",0,-24.22704573
"['6/22/2015 2:30', '124', '367122', '586', 'NULL', '?']",0,-24.22704573
"['6/22/2015 2:25', '142', '389180', '536', 'NULL', '?']",0,-25.22704573
"['6/22/2015 2:20', '105', '392794', '678', 'NULL', '?']",0,-25.22704573
"['6/22/2015 2:15', '131', '354191', '491', 'NULL', '?']",0,-24.22704573
"['6/22/2015 2:10', '121', '326190', '438', 'NULL', '?']",0,-23.22704573
"['6/22/2015 2:05', '127', '424326', '628', 'NULL', '?']",0,-26.22704573
"['6/22/2015 2:00', '136', '430859', '769', 'NULL', '?']",0,-26.22704573
"['6/22/2015 1:55', '141', '431486', '620', 'NULL', '?']",0,-26.22704573
"['6/22/2015 1:50', '149', '440476', '512', 'NULL', '?']",0,-27.22704573
"['6/22/2015 1:45', '142', '439869', '589', 'NULL', '?']",0,-27.22704573
"['6/22/2015 1:40', '149', '468687', '595', 'NULL', '?']",0,-28.22704573
"['6/22/2015 1:35', '159', '483373', '674', 'NULL', '?']",0,-28.22704573
"['6/22/2015 1:30', '152', '485926', '486', 'NULL', '?']",0,-29.22704573
"['6/22/2015 1:25', '154', '502912', '599', 'NULL', '?']",0,-29.22704573
"['6/22/2015 1:20', '170', '520832', '590', 'NULL', '?']",0,-30.22704573
"['6/22/2015 1:15', '209', '530108', '999', 'NULL', '?']",0,-31.22704573
"['6/22/2015 1:10', '185', '433640', '688', 'NULL', '?']",0,-26.22704573
"['6/22/2015 1:05', '202', '523508', '578', 'NULL', '?']",0,-30.22704573
"['6/22/2015 1:00', '197', '576606', '1452', 'NULL', '?']",0,-33.22704573
"['6/22/2015 0:55', '254', '577228', '958', 'NULL', '?']",0,-33.22704573
"['6/22/2015 0:50', '190', '585715', '888', 'NULL', '?']",0,-34.22704573
"['6/22/2015 0:45', '234', '608971', '839', 'NULL', '?']",0,-35.22704573
"['6/22/2015 0:40', '229', '595904', '1255', 'NULL', '?']",0,-34.22704573
"['6/22/2015 0:35', '229', '585535', '1102', 'NULL', '?']",0,-34.22704573
"['6/22/2015 0:30', '217', '623291', '1367', 'NULL', '?']",0,-36.22704573
"['6/22/2015 0:25', '249', '639642', '1426', 'NULL', '?']",0,-37.22704573
"['6/22/2015 0:20', '253', '686654', '1708', 'NULL', '?']",0,-40.22704573
"['6/22/2015 0:15', '276', '681650', '1717', 'NULL', '?']",0,-40.22704573
"['6/22/2015 0:10', '298', '508061', '767', 'NULL', '?']",0,-30.22704573
"['6/22/2015 0:05', '282', '722438', '923', 'NULL', '?']",0,-43.22704573
"['6/22/2015 0:00', '337', '750184', '1073', 'NULL', '?']",0,-45.22704573
"['6/21/2015 23:55', '435', '757084', '1092', 'NULL', '?']",0,-45.22704573
"['6/21/2015 23:50', '436', '810737', '868', 'NULL', '?']",0,-50.22704573
"['6/21/2015 23:45', '402', '836192', '1122', 'NULL', '?']",0,-52.22704573
"['6/21/2015 23:40', '397', '812755', '1109', 'NULL', '?']",0,-50.22704573
"['6/21/2015 23:35', '352', '816762', '1068', 'NULL', '?']",0,-50.22704573
"['6/21/2015 23:30', '363', '851003', '1503', 'NULL', '?']",0,-54.22704573
"['6/21/2015 23:25', '404', '745899', '1532', 'NULL', '?']",0,-45.22704573
