5/4/2015 12:30,519,249689,5021
5/4/2015 12:35,505,229545,4624
5/4/2015 12:40,503,147464,3308
5/4/2015 12:45,496,228489,5102
5/4/2015 12:50,504,235690,5489
5/4/2015 12:55,502,226500,5533
5/4/2015 13:00,454,245052,5005
5/4/2015 13:05,483,247084,4443
5/4/2015 13:10,504,184088,3656
5/4/2015 13:15,531,195193,4916
5/4/2015 13:20,466,207921,4970
5/4/2015 13:25,519,208487,631
5/4/2015 13:30,462,246185,0
5/4/2015 13:35,503,235794,13
5/4/2015 13:40,464,199462,587
5/4/2015 13:45,543,239401,1317
5/4/2015 13:50,455,260690,7650
5/4/2015 13:55,470,280785,10799
5/4/2015 14:00,501,254529,11321
5/4/2015 14:05,500,275115,11468
5/4/2015 14:10,533,203916,8305
5/4/2015 14:15,532,202798,8405
5/4/2015 14:20,496,15302,700
5/4/2015 14:25,533,10592,431
5/4/2015 14:30,517,4304,136
5/4/2015 14:35,487,7633,296
5/4/2015 14:40,516,14498,554
5/4/2015 14:45,473,7281,302
5/4/2015 14:50,501,8827,383
5/4/2015 14:55,460,4038,178
5/4/2015 15:00,495,1239,44
5/4/2015 15:05,477,1558,67
5/4/2015 15:10,471,610,30
5/4/2015 15:15,463,2370,89
5/4/2015 15:20,435,3661,144
5/4/2015 15:25,476,1744,59
5/4/2015 15:30,462,875,47
5/4/2015 15:35,496,4427,151
5/4/2015 15:40,487,2262,64
5/4/2015 15:45,474,10361,321
5/4/2015 15:50,473,12295,426
5/4/2015 15:55,426,14574,508
5/4/2015 16:00,506,94003,3430
5/4/2015 16:05,482,163788,4551
5/4/2015 16:10,478,163788,4551
5/4/2015 16:15,514,66651,2363
5/4/2015 16:20,446,117334,4160
5/4/2015 16:25,427,185232,6748
5/4/2015 16:30,501,169866,5047
5/4/2015 16:35,467,193182,6872
5/4/2015 16:40,467,138566,5384
5/4/2015 16:45,449,183694,4361
5/4/2015 16:50,483,122572,2784
5/4/2015 16:55,449,180318,3777
5/4/2015 17:00,443,164741,4234
5/4/2015 17:05,402,207330,4341
5/4/2015 17:10,458,125947,2233
5/4/2015 17:15,412,128369,2635
5/4/2015 17:20,405,198258,4014
5/4/2015 17:25,458,205340,4427
5/4/2015 17:30,410,212445,4613
5/4/2015 17:35,420,210700,4712
5/4/2015 17:40,409,179193,3681
5/4/2015 17:45,404,233249,4728
5/4/2015 17:50,428,226204,5054
5/4/2015 17:55,368,176479,3839
5/4/2015 18:00,404,227404,4763
5/4/2015 18:05,388,212330,4729
5/4/2015 18:15,368,118365,2408
5/4/2015 18:20,403,135782,2565
5/4/2015 18:25,375,191581,3677
5/4/2015 18:30,400,208608,4552
5/4/2015 18:35,408,207724,4570
5/4/2015 18:40,385,201912,4517
5/4/2015 18:45,383,220153,4462
5/4/2015 18:50,411,211418,3601
5/4/2015 18:55,348,196056,3061
5/4/2015 19:00,371,222039,4251
5/4/2015 19:05,343,216134,4704
5/4/2015 19:10,402,163598,4408
5/4/2015 19:15,381,163407,3376
5/4/2015 19:20,392,197383,3963
5/4/2015 19:25,419,160646,3575
5/4/2015 19:30,361,198079,4155
5/4/2015 19:35,396,215312,4796
5/4/2015 19:40,365,59054,1418
5/4/2015 19:45,441,201236,4105
5/4/2015 19:50,401,215125,4733
5/4/2015 19:55,383,192056,4489
5/4/2015 20:00,429,185130,3535
5/4/2015 20:05,391,233070,5450
5/4/2015 20:10,382,145929,3071
5/4/2015 20:15,368,176826,3800
5/4/2015 20:20,368,165942,3302
5/4/2015 20:25,377,215132,4549
5/4/2015 20:30,422,248612,5105
5/4/2015 20:35,400,245105,4915
5/4/2015 20:40,387,206429,4035
5/4/2015 20:45,396,243762,4326
